2022-07-14 23:43:14	OD5ZZ	KM74	0	14075678.000000
2022-07-15 00:02:43	7Z1IS	LL34	0	14075884.000000
2022-07-15 00:30:43	UA0SM	OO06	0	14074466.000000
2022-07-15 00:41:14	R9GB	LO87	0	14074603.000000
2022-07-15 01:03:14	RN1ON	LP04	0	14076628.000000
2022-07-15 19:43:43	PD3AL	JO22	0	14074362.000000
2022-07-15 19:54:44	EA4HCZ	KO43	0	14076559.000000
2022-07-15 19:57:28	ES1KK	KO29	0	14075622.000000
2022-07-15 22:17:44	UA3IHJ	KO67	-1	14074297.000000
2022-07-15 22:19:28	CT7AIU	IM67	-1	14074578.000000
2022-07-15 22:42:44	YO4NF	KN44	-2	14074628.000000
2022-07-16 14:55:30	DM1MAX      JO62    -2      14074628.000000
2022-07-16 14:42:00	GI5KSO	IO74	-18	14074628.000000
2022-07-16 14:54:00	DM1MAX	JO62	-2	14074628.000000
2022-07-16 15:28:56	OZ9FF	JO75	1	14075256.000000
2022-07-16 15:33:14	2E0APG	LA6TMA	-8	14075775.000000
2022-07-16 15:35:11	CT7ABD	IM58	-7	14075319.000000
2022-07-16 15:42:56	DG0KT	JO64	-3	14074509.000000
2022-07-16 15:51:11	OZ1IKU	JO56	-2	14076116.000000
2022-07-16 23:58:58	RX3ASQ	EM37	-2	14075869.000000
2022-07-17 01:22:26	R3BB	KO85	1	14074559.000000
2022-07-17 01:34:56	UN6GN	MN83	-3	14076581.000000
2022-07-19 13:29:26	SM2OTU	KP16	-2	14076791.000000
2022-07-19 13:33:11	OZ9WRH	JO56	-5	14075956.000000
2022-07-19 13:34:41	OH3OJ	KP20	0	14076312.000000
2022-07-19 15:04:11	MI0NWA	IO64	-1	14074738.000000
2022-07-19 15:17:56	IK7NXU	JN81	0	14076006.000000
2022-07-19 15:20:26	LY3PW	KO05	-2	14075722.000000
2022-07-19 15:23:26	EA7HY	IM66	-2	14075038.000000
2022-07-19 15:36:44	RN9AZ	MO05	-2	14076203.000000
2022-07-19 15:39:56	GI5RPG	IO64	-2	14075672.000000
2022-07-19 16:01:28	EA5OL	IM99	-4	14074853.000000
2022-07-19 16:15:11	RW6AFX	LN04	0	14075309.000000
2022-07-19 16:15:41	RW6AFX		-3	14075309.000000
2022-07-19 16:21:26	OD5KU	EM95	-1	14076475.000000
2022-07-19 16:26:41	RY7G	LN14	1	14076391.000000
2022-07-19 16:56:11	ER1PB	JN80	-3	14076112.000000
2022-07-19 17:07:56	RK4HP	JM49	-1	14076425.000000
2022-07-19 17:12:56	R7BL	KN04	0	14075128.000000
2022-07-19 17:13:26	R7BL		-1	14075128.000000
2022-07-19 17:33:26	RC7LL	KN97	-3	14074494.000000
2022-07-19 17:50:26	IT9PQO	JM78	-2	14075447.000000
2022-07-19 19:33:56	TA2ANK	KM69	0	14076097.000000
2022-07-19 19:35:26	RA6L	KN97	-3	14076203.000000
2022-07-19 19:37:26	RA3FD	KO96	-1	14076241.000000
